puzzle_id,fen,rating,phase,fullmove_number,moves,rating_deviation,popularity,nb_plays,themes,piece_count,major_pieces,difficulty,phase_source,heuristic_phase
2tw5C,6k1/5R2/3p3Q/2pPb3/1p2P1q1/6Pp/1r5P/4R2K b - - 0 37,1717,endgame,37,g8f7 e1f1 e5f4 f1f4 g4f4 h6f4,74,94,1390,endgame,16,8,hard,theme,middlegame
Kx4wT,r5k1/pR4bp/6p1/2B2pP1/3p1P2/1P1P1K1P/1r6/R7 b - - 1 28,1885,endgame,28,a8e8 b7g7 g8g7 c5d4 g7g8 d4b2,74,87,407,endgame,18,8,hard,theme,middlegame
T2B6M,2k1r3/ppp2p2/8/2b1P1pp/8/2P2KBP/PP1r1PP1/R3R3 w - - 1 19,1743,endgame,19,e1e2 g5g4 h3g4 h5g4 f3g4 d2e2,74,95,3610,endgame,21,8,hard,theme,middlegame
etE9j,6R1/r4k2/5p2/5p2/5P1K/6P1/8/8 w - - 6 51,1908,endgame,51,g8h8 a7a1 g3g4 a1h1 h4g3 h1h8,74,77,144,endgame,8,4,hard,theme,endgame
FbYfT,5k2/1p3q2/p4r2/3pR3/2pQ4/2P4P/PP4P1/6K1 w - - 2 37,1842,endgame,37,d4d5 f6f1 g1h2 f7f4 g2g3 f1f2,74,93,1087,endgame,15,6,hard,theme,middlegame
zoqxz,3rR3/1p3P1p/8/6P1/2k5/7P/2p2P2/4K3 w - - 0 40,1804,endgame,40,f7f8q c2c1q e1e2 c1d1,74,92,2047,endgame,11,4,hard,theme,endgame
6NSYf,6k1/1pb1Qpp1/7p/p2r4/8/P1Nq4/1P3PPP/5R1K w - - 2 28,1795,endgame,28,f1e1 d5e5 e7e5 c7e5,74,96,4198,endgame,18,8,hard,theme,middlegame
QzOv6,5k2/1qpQ1pr1/1p5p/p4R2/8/2P1r1P1/P6P/5RK1 b - - 1 26,1881,endgame,26,e3g3 h2g3 g7g3 g1f2 b7g2 f2e1 g3e3 e1d1 g2e2 d1c1 e3c3 c1b1 e2d3 d7d3,74,85,237,endgame,17,8,hard,theme,middlegame
adcry,2r2n2/ppp2k1p/4Rpp1/3p1P2/1q1P3N/1P2Q3/P1P3PP/6K1 w - - 1 25,2012,endgame,25,f5g6 h7g6 c2c3 b4a3 e6f6 f7f6,74,96,355,endgame,22,8,hard,theme,middlegame
HKt2m,4R3/ppr2kp1/8/1B3p2/6p1/1K4R1/PPP2b2/8 w - - 2 32,1929,endgame,32,g3c3 c7c3 b3c3 g4g3 e8e2 g3g2 e2f2 g2g1q,74,92,626,endgame,15,7,hard,theme,middlegame
UGB0Y,8/bpp3k1/3pq1p1/p3P2r/4N3/P1Q4P/1PP4K/4R3 b - - 0 29,1962,endgame,29,e6e5 e4g3 e5c3 g3h5 g6h5 b2c3,74,93,2989,endgame,18,8,hard,theme,middlegame
