puzzle_id,fen,rating,phase,fullmove_number,moves,rating_deviation,popularity,nb_plays,themes,piece_count,major_pieces,difficulty,phase_source,heuristic_phase
jyPto,8/5ppk/4r2p/8/4b3/7P/5Q2/6K1 w - - 4 48,1459,endgame,48,f2f7 e6g6 g1f2 g6f6 f7f6 g7f6,74,91,1423,endgame,9,5,medium,theme,endgame
IfREB,6k1/5bpp/R7/4p3/P1p1P1PP/3n1P2/6K1/8 b - - 0 42,1615,endgame,42,c4c3 a6a8 f7e8 a8e8 g8f7 e8c8,74,90,738,endgame,14,5,medium,theme,endgame
dVA38,6k1/5p2/R5pp/1p2r3/6P1/N2B4/rPP3PK/8 w - - 0 33,1484,endgame,33,d3b5 e5b5 a3b5 a2a6,74,94,200,endgame,15,7,medium,theme,middlegame
qu8xE,r2q4/1p4kp/3pQ1p1/3PbpN1/p7/6P1/4B1KP/8 b - - 3 32,1478,endgame,32,d8f6 e6d7 g7f8 g5h7 f8g8 h7f6,74,87,445,endgame,17,8,medium,theme,middlegame
SwdLK,4Q3/2q4p/5rRk/p2PN3/4P3/7P/P6K/8 b - - 0 35,1565,endgame,35,h7g6 e8h8 h6g5 h3h4 g5f4 h8f6,74,97,6204,endgame,13,7,medium,theme,middlegame
dBDB1,2q3k1/5pp1/p3p2p/bp1pP3/2nP4/P4NP1/1P3P1P/1NQ2K2 w - - 4 28,1699,endgame,28,b2b3 c4d2 c1d2 a5d2,74,89,546,endgame,22,8,medium,theme,middlegame
NM1X5,2k5/1p4r1/p3pqr1/2p5/P1P1Rp2/1R3Q1P/5PP1/6K1 w - - 3 36,1658,endgame,36,e4f4 g6g2 f3g2 g7g2 g1g2 f6f4,74,96,4080,endgame,18,8,medium,theme,middlegame
4axAd,1k2r3/2p3bp/p3q1p1/1p6/3p2Q1/1P1P3P/PB3PP1/2R3K1 w - - 2 28,1659,endgame,28,g4f4 e6e1 c1e1 e8e1 g1h2 g7e5 f4e5 e1e5,74,92,379,endgame,20,8,medium,theme,middlegame
NtwVx,2r3k1/p6p/1p2p1p1/3pb1N1/P2q4/8/6PP/1Q3R1K b - - 1 34,1550,endgame,34,c8f8 f1f8 g8f8 g5e6 f8e7 e6d4,74,97,7907,endgame,17,8,medium,theme,middlegame
Rqbbj,8/8/5k2/3P1P2/p3K3/8/8/8 w - - 0 59,1456,endgame,59,d5d6 a4a3 d6d7 f6e7 f5f6 e7d7 e4d3 a3a2,73,96,7984,endgame,5,2,medium,theme,endgame
52Hay,8/1p6/p7/P6R/4kP1P/6P1/r3p3/4K3 w - - 0 45,1569,endgame,45,h5e5 e4f3 f4f5 a2a1 e1d2 a1d1,74,74,108,endgame,11,4,medium,theme,endgame
ITwPe,8/p7/1p2k3/1P3p1p/P2K1p2/5P2/6PP/8 w - - 0 41,1358,endgame,41,g2g3 f4g3 h2g3 f5f4,74,85,350,endgame,12,2,medium,theme,endgame
Fyx4R,4r1k1/p1p3p1/2Q3p1/2P1b3/4p3/4Bq2/P1P2P2/5K1R b - - 3 30,1631,endgame,30,e8d8 c6e6 f3f7 h1h8 g8h8 e6f7,74,92,505,endgame,17,8,medium,theme,middlegame
iJn2i,4Qbk1/7p/2Bq2p1/p4p2/1pPP3P/6P1/2P4K/8 b - - 0 36,1361,endgame,36,d6d4 c6d5 g8g7 e8f7 g7h6 f7f8,74,92,530,endgame,16,6,medium,theme,middlegame
7llQ5,5q2/p6k/1pnp2pb/2p3Q1/P3P3/2PP2N1/1P2K3/7R w - - 3 36,1310,endgame,36,h1f1 f8f1 e2f1 h6g5,74,95,6422,endgame,18,8,medium,theme,middlegame
iP5Zr,3k3r/pp4p1/2pqp1Qp/8/2P3P1/8/PP6/2K2R2 b - - 3 32,1630,endgame,32,h8f8 f1d1 f8f1 d1f1,74,97,4952,endgame,16,6,medium,theme,middlegame
