puzzle_id,fen,rating,phase,fullmove_number,moves,rating_deviation,popularity,nb_plays,themes,piece_count,major_pieces,difficulty,phase_source,heuristic_phase
X20de,r1br2k1/1p2pp1p/pq3bp1/3Pn3/4P3/1NN5/PP2BPPP/2RQ1RK1 w - - 0 14,1279,middlegame,14,d1d4 e5f3 e2f3 f6d4,74,96,4520,middlegame,27,14,easy,theme,middlegame
uQlt5,4r1k1/pp3pp1/2pp4/5b2/1b2r3/1B4B1/PPP2PPP/R3RK2 w - - 5 24,1294,middlegame,24,c2c3 e4e1 a1e1 f5d3,74,96,2443,middlegame,22,10,easy,theme,middlegame
eOfM7,r1b3k1/pp2rppp/5n2/1B2p3/3q4/3Q3P/PPP2PP1/R4RK1 b - - 1 17,1281,middlegame,17,d4b2 d3d8 e7e8 b5e8,74,98,2176,middlegame,23,11,easy,theme,middlegame
fJxZe,2b1r1k1/1pr2ppR/p7/P1BPb3/6q1/2PB2P1/3Q3P/5RK1 w - - 3 30,1212,middlegame,30,c5d4 e5d4 c3d4 g4d4,74,97,821,middlegame,21,12,easy,theme,middlegame
KCTui,r3k2r/p4pp1/b1p1p2q/2P1N3/5P2/4P1n1/PP4Q1/3RR1K1 w kq - 0 23,1119,middlegame,23,g2g3 h6h1 g1f2 h8h2 g3h2 h1h2,74,98,1002,middlegame,21,11,easy,theme,middlegame
ZaNqg,r5k1/ppp1qppp/5n2/2r5/8/2BQP3/PP3PPP/1K1R3R b - - 0 19,1241,middlegame,19,c5d5 c3f6 d5d3 f6e7 d3d1 h1d1,74,95,5121,middlegame,22,10,easy,theme,middlegame
liOfh,1r2r1k1/p4ppp/q4n2/8/3Q1N2/2BP2PP/bPP2P2/R4RK1 w - - 4 21,1262,middlegame,21,d4c4 a2c4 a1a6 c4a6,74,74,183,middlegame,22,12,easy,theme,middlegame
JioCs,2r2rk1/1p3pp1/pq1p1b1p/3Pp3/1P2P1b1/P1NQ1N2/5PPP/2R2RK1 b - - 0 17,1232,middlegame,17,c8c7 c3a4 c7c1 a4b6,74,92,1382,middlegame,26,12,easy,theme,middlegame
TdTfW,r4rk1/pb4pp/1p2p3/3pP1q1/3Pp3/2P5/PPQ3PP/R3RNK1 w - - 0 17,1185,middlegame,17,c2d2 f8f1 e1f1 g5d2,74,89,383,middlegame,24,10,easy,theme,middlegame
UYdtc,r1b1k2r/ppp1qppp/2nb4/3Bp3/8/4PNP1/PPQP1P1P/R1B1K2R b KQkq - 0 9,1128,middlegame,9,c8e6 d5c6 b7c6 c2c6 e7d7 c6a8,74,100,1196,middlegame,28,14,easy,theme,opening
