puzzle_id,fen,rating,phase,fullmove_number,moves,rating_deviation,popularity,nb_plays,themes,piece_count,major_pieces,difficulty,phase_source,heuristic_phase
TBlnx,5rk1/4q1pp/4pn2/4N3/p2P1p1Q/2PB1P1K/r6P/6R1 b - - 1 37,1780,middlegame,37,a4a3 d3h7 f6h7 h4e7,74,83,397,middlegame,19,10,hard,theme,middlegame
6FOPu,r2qk2r/pp2ppb1/3p1Bp1/3P3p/4P1bP/2N2B2/PP3PP1/R2QK2R b KQkq - 0 12,1788,middlegame,12,g4f3 d1a4 b7b5 a4b5 e8f8 f6g7,74,94,2516,middlegame,27,13,hard,theme,opening
aWfxA,1k3qrb/1p3p2/2brpP2/Qp6/5B2/8/PP2BPPP/3R2K1 b - - 3 27,1818,middlegame,27,g8g2 g1f1 g2g1 f1g1 f8g8 f4g3,74,84,428,middlegame,21,11,hard,theme,middlegame
WZrfo,1r1q1n1k/p5pp/1p2r3/2bBP2Q/2Pp4/4P3/PP3P1P/3R2RK b - - 7 23,1887,middlegame,23,e6h6 h5h6 d8d5 c4d5,74,93,1092,middlegame,23,11,hard,theme,middlegame
ftGef,2k2r2/3n1p2/2p4p/ppb2np1/4N3/1BP5/PP4PP/1KBR4 b - - 1 25,1792,middlegame,25,f5e3 d1d7 c8d7 e4c5 d7c8 c1e3,74,87,199,middlegame,21,10,hard,theme,middlegame
GzBjh,4r1k1/pppq1p1p/3p2pB/4bbQ1/4r3/3B4/PPP3PP/4RR1K b - - 10 27,1736,middlegame,27,e4g4 d3f5 d7f5 f1f5 g4g5 f5g5,74,93,911,middlegame,24,12,hard,theme,middlegame
LUbSX,4r1k1/n1q2ppp/1p3bb1/3Q4/8/1NP2NPP/PP3PB1/R5K1 w - - 1 23,1713,middlegame,23,a1d1 e8d8 d5d8 f6d8,74,96,3533,middlegame,22,12,hard,theme,middlegame
gyjSF,4r1k1/1p3ppp/2np1n2/p7/5P2/1NP2PP1/PP1Br2P/R4RK1 w - - 0 17,1857,middlegame,17,a1e1 a5a4 e1e2 e8e2 f1d1 a4b3,73,96,1778,middlegame,23,10,hard,theme,middlegame
RQUkI,r6k/pp3pbp/q3bNp1/4R1P1/8/1P2QP2/2P5/2KR4 w - - 1 32,1735,middlegame,32,e5e6 a6a1 c1d2 a8d8 d2e2 a1d1,74,91,1470,middlegame,19,10,hard,theme,middlegame
kkW8M,4r1k1/p1q1rp1p/1p1p1Qp1/2nB2P1/2P5/1P5P/P5K1/4RR2 b - - 4 30,1830,middlegame,30,c5e4 e1e4 e7e4 d5f7 c7f7 f6f7,74,96,3529,middlegame,21,10,hard,theme,middlegame
