puzzle_id,fen,rating,phase,fullmove_number,moves,rating_deviation,popularity,nb_plays,themes,piece_count,major_pieces,difficulty,phase_source,heuristic_phase
mHx8w,2r4k/pp2r1p1/1qb1p2p/3pPp2/3P1Q1N/1P4R1/P4PPP/3R2K1 b - - 9 25,1689,middlegame,25,h8h7 h4f5 e6f5 f4f5 h7h8 f5c8,74,91,1045,middlegame,24,10,medium,theme,middlegame
qdOqO,1Br2rk1/pp1n1p1p/1q6/5N2/1P1Pp3/2P5/P5PP/2R1Q1K1 b - - 0 24,1434,middlegame,24,c8b8 e1g3 b6g6 f5e7 g8g7 e7g6,74,96,8949,middlegame,21,10,medium,theme,middlegame
TRyjx,2k1r3/3p1R2/1pb5/2n4r/p1P2B2/P1P2NP1/2B2KPp/7R w - - 2 27,1645,middlegame,27,c2d1 c5d3 f2f1 c6f3 f7f8 e8f8,74,87,334,middlegame,20,11,medium,theme,middlegame
yho6k,r4r1k/pb2R3/1p1p3q/2p5/5nQ1/3B2NN/PP4PK/8 b - - 0 29,1641,middlegame,29,b7g2 e7h7 h6h7 d3h7 g2h3 g4h4,74,94,3268,middlegame,19,12,medium,theme,middlegame
WFVrJ,r4rk1/p1p2pp1/2pp1n1p/2b5/4P1q1/2NB4/PPPB1PP1/R3QR1K w - - 0 14,1410,middlegame,14,e1e2 g4h4 h1g1 f6g4,74,96,7377,middlegame,26,13,medium,theme,middlegame
hDdZp,r4rk1/1p3p1p/5Qp1/p6P/1qb1P3/2N2P2/PP4P1/2K2B1R b - - 0 18,1412,middlegame,18,c4f1 h5h6 b4d4 f6d4,74,96,8337,middlegame,21,10,medium,theme,middlegame
y0Iub,r5k1/1bq2pp1/pp4rp/3pbN2/1P3P1B/P2Q3P/N1Pn2P1/1R3RK1 b - - 4 23,1539,middlegame,23,d2b1 f5e7 c7e7 h4e7,74,90,482,middlegame,26,14,medium,theme,middlegame
8R9EU,r1b1k2N/pppp2pp/2n5/4p3/2B4q/8/PPPP1n1P/RNB2QK1 w q - 2 11,1476,middlegame,11,c4b3 f2h3 f1h3 h4h3,74,84,255,middlegame,25,13,medium,theme,opening
7U4cZ,r4rk1/pp3pp1/4b3/6qp/3P4/1P1BPQ2/P4PPP/R4RK1 w - - 0 17,1475,middlegame,17,f3b7 e6d5 b7d5 g5d5,74,87,242,middlegame,22,10,medium,theme,middlegame
yCYHZ,2kr1bnr/pp2pppp/2n5/1Q1P4/2p2B2/2P1P3/P4PPP/qN2KBNR b K - 0 10,1632,middlegame,10,a7a6 b5b6 a1b1 b6b1,74,91,851,middlegame,28,14,medium,theme,opening
o1OJV,r5k1/pp3pp1/2p2pp1/8/3q1PQ1/1PN1n3/P5PP/R4R1K w - - 2 22,1621,middlegame,22,c3e2 d4a1 f1a1 e3g4,74,83,400,middlegame,21,9,medium,theme,middlegame
doA3J,r6k/1pp2rpp/1b1p4/p1nPp3/P1P2q1B/2Q3N1/1P4PP/R4R1K b - - 3 22,1521,middlegame,22,c5e4 f1f4 f7f4 g3e4,74,89,429,middlegame,25,12,medium,theme,middlegame
bta4a,r6r/1p3pkp/p2pp1p1/2P1n1q1/4P3/2N5/PP2QP1P/3R1R1K b - - 1 19,1645,middlegame,19,d6c5 f2f4 g5g4 f4e5 g4e2 c3e2,74,95,2118,middlegame,23,10,medium,theme,middlegame
J5Edm,1r1q1rk1/1p2bppp/p1n1p3/3pP3/3B1P2/1QP4P/1P3P2/R3RBK1 b - - 0 23,1659,middlegame,23,c6a5 a1a5 d8a5 d4b6 a5b6 b3b6,74,83,301,middlegame,25,12,medium,theme,middlegame
zYYsg,rn3rk1/p3R1pp/2p5/1p3p2/4bB2/P1P5/1P4PP/3R2K1 b - - 3 22,1494,middlegame,22,b8a6 d1d7 f8f6 e7g7,74,94,1269,middlegame,20,9,medium,theme,middlegame
ZmE3I,r4rk1/p5p1/2n3pp/1p1pP3/3P2P1/2P1qN1P/PP4K1/R2Q1R2 w - - 0 26,1573,middlegame,26,d1d2 f8f3 d2e3 f3e3,74,91,797,middlegame,23,10,medium,theme,middlegame
HyNuR,r5k1/ppp2ppp/n2p4/1P1Prb2/4N3/P2B4/5PPP/2R1R1K1 b - - 0 19,1455,middlegame,19,a6c5 e4c5 e5e1 c1e1 d6c5 d3f5,74,95,7595,middlegame,23,10,medium,theme,middlegame
erVop,5bk1/1p1bnppp/8/1PPpq3/8/1QP3P1/5PBP/3R2K1 w - - 2 30,1346,middlegame,30,g2d5 e7d5 b3d5 e5d5 d1d5 d7b5,74,94,977,middlegame,20,9,medium,theme,middlegame
G2ZyO,r1b1r1k1/1p3pbp/p3q1P1/8/3B1P2/8/PPP2QP1/2KR3R b - - 0 19,1528,middlegame,19,g7d4 g6h7 g8h8 f2d4,74,89,332,middlegame,21,11,medium,theme,middlegame
zySFq,r1bq1rk1/ppp1bpnp/3p3Q/3Np3/2P1P3/5N2/PPP2PPP/2KR3R b - - 2 12,1424,middlegame,12,c8g4 d5e7 d8e7 f3g5 e7g5 h6g5,74,86,1932,middlegame,28,13,medium,theme,opening
5VzI3,r3k2r/1bqnbppp/p3p3/8/3P2n1/2NBBN2/PPP2PPP/R2Q1RK1 w kq - 8 11,1696,middlegame,11,d1d2 b7f3 e3f4 e7d6,74,98,175,middlegame,28,16,medium,theme,opening
Xgxty,r1b3QQ/ppkp4/2p1p3/2Pn4/8/1P1n4/P4P2/RNqBK3 w - - 5 35,1638,middlegame,35,e1e2 d5f4 e2f3 c1d1 f3g3 d1g1,74,86,320,middlegame,21,12,medium,theme,middlegame
XCREf,r2q1rk1/3b1p2/p5Np/1p1p4/8/P2QP3/1b3PPP/RB3RK1 b - - 0 21,1561,middlegame,21,b2a1 g6e7 g8g7 d3h7 g7f6 e7d5,74,83,432,middlegame,22,12,medium,theme,middlegame
M4S8Y,r3rnk1/pQ4p1/4p2p/q4p2/3P4/P1P3B1/6PP/1R3RK1 b - - 0 23,1481,middlegame,23,a8c8 g3e5 a5e5 d4e5,74,83,484,middlegame,20,10,medium,theme,middlegame
i7XNc,r1bq1rk1/pp3p2/2p2nn1/b2p2QP/3P4/P1N2NP1/1PP1BP2/R3K2R b KQ - 0 15,1566,middlegame,15,a5c3 b2c3 f6e4 g5d8 f8d8 h5g6,74,93,449,middlegame,27,15,medium,theme,middlegame
GMDDg,r2q1rk1/p5bp/1p4p1/3Np3/4P3/1P1Q2B1/1PR2PPP/6K1 b - - 0 22,1344,middlegame,22,a8c8 c2c8 d8c8 d5e7 g8h8 e7c8,74,99,6570,middlegame,21,10,medium,theme,middlegame
EgpD1,r1bqr1k1/pp3ppp/8/1P1p1nP1/7P/P1B1P3/6B1/R2Q1RK1 b - - 0 18,1511,middlegame,18,f5e3 d1d4 e3f5 f1f5,74,90,1780,middlegame,23,12,medium,theme,middlegame
Z02mB,2r2r1k/1pq3p1/p6p/6b1/8/1N4P1/PPPQ4/1K1R3R w - - 3 28,1530,middlegame,28,d2g5 c7c2 b1a1 c2d1 h1d1 h6g5,74,88,242,middlegame,18,10,medium,theme,middlegame
jJntt,2b2rk1/2rp2pp/p2q4/1p2ppQ1/4B3/2P5/P1P1KP2/6RR b - - 1 27,1685,middlegame,27,d6f6 e4d5 g8h8 h1h7 h8h7 g1h1 f6h6 h1h6 g7h6 g5e7,74,93,1085,middlegame,21,10,medium,theme,middlegame
bH1Pv,r4k1r/4b2p/5qp1/p4p2/1pQN4/2p1P3/2R2PPP/3R2K1 b - - 3 35,1560,middlegame,35,a8d8 d4e6 f6e6 d1d8 f8f7 c4e6 f7e6 d8h8,74,95,1206,middlegame,20,10,medium,theme,middlegame
IhwqJ,2rr2k1/6p1/5q1p/p3p3/3b2Q1/P1P4P/2R2PPB/5R1K b - - 0 26,1539,middlegame,26,c8c3 c2c3 d4c3 g4c4 g8h7 c4c3,74,83,155,middlegame,19,10,medium,theme,middlegame
0n6Hp,4r2k/pp2pr1p/4N1p1/4n3/3Nb3/4R3/PP5P/4K1R1 b - - 1 26,1549,middlegame,26,e5f3 d4f3 f7f3 e3e4,74,92,1480,middlegame,18,10,medium,theme,middlegame
frqpn,r4r1k/pp4p1/2n4p/6q1/2Q4N/PP5b/2P2PP1/R3R1K1 b - - 3 23,1556,middlegame,23,f8f4 c4f4 g5f4 h4g6 h8h7 g6f4,74,90,401,middlegame,20,11,medium,theme,middlegame
MBpKj,r3r3/pp1nb1kp/1qp1Qnp1/3p2N1/3P4/2P5/PP1N1PPP/R3R1K1 b - - 5 21,1585,middlegame,21,d7f8 e6f7 g7h8 e1e7 e8e7 f7e7,74,94,1308,middlegame,26,13,medium,theme,middlegame
