puzzle_id,fen,rating,phase,fullmove_number,moves,rating_deviation,popularity,nb_plays,themes,piece_count,major_pieces,difficulty,phase_source,heuristic_phase
2MLpK,r1b1k1nr/p2p2Qp/2p1pp2/q7/4PB2/2P5/P1P2PPP/R3KB1R w KQkq - 0 12,1207,opening,12,f4d6 a5c3 e1d1 c3a1 d1d2 a1d4 f1d3 d4d6,74,98,820,advantage fork middlegame verylong,25,12,easy,heuristic,opening
tbpX1,rnbqk2r/ppp2ppp/1n2p3/4N3/1bPP4/2N2Q2/PP3PPP/R1B1KB1R b KQkq - 2 8,1290,opening,8,f7f6 f3h5 g7g6 e5g6 h7g6 h5h8,74,94,19281,crushing long middlegame,30,16,easy,heuristic,opening
zTArH,r1b1kbnr/pp2pppp/2P5/8/Q1B5/2P5/PP3P1P/RNB1K1Nq b Qkq - 0 8,1242,opening,8,h1c6 c4b5 c8d7 b5c6,74,96,3580,opening,26,14,easy,theme,opening
VnCUu,rn4nr/ppp2kpp/1b6/3QPq2/6b1/5N2/PP3PPP/RNB2RK1 b - - 1 11,1259,opening,11,f5e6 f3g5 f7e7 g5e6,74,65,218,crushing fork opening short,26,15,easy,heuristic,opening
rm74I,rn3rk1/ppp2ppp/4bn2/4N3/1bPP4/2N1BQ2/PPq2PPP/R3KB1R w KQ - 7 10,1164,opening,10,f3e2 b4c3 b2c3 c2c3 e2d2 c3a1,74,99,2174,opening,29,16,easy,theme,opening
iRDpl,rqb1kb1r/p3pppp/2p5/4P3/6n1/2N5/PPP1Q1PP/R1B1KB1R w KQkq - 3 11,1283,opening,11,c1f4 b8b2 a1d1 b2c3 e2d2 c3d2,74,82,128,crushing exposedking fork long opening,26,14,easy,heuristic,opening
HnTaS,r3k2r/pppq1ppp/2nbpn2/3pNb2/3P4/2PBP1B1/PP3PPP/RN1QK2R b KQkq - 7 8,1288,opening,8,c6e5 d4e5 d6e5 g3e5,74,87,1091,advantage fork middlegame short,32,16,easy,heuristic,opening
wwccr,r1b1kbnr/p2p1ppp/1pp2q2/4p3/2B1P3/2N1Q3/PPPP1PPP/R1B2RK1 w kq - 0 8,1166,opening,8,f2f4 f8c5 e3c5 b6c5,74,95,19859,crushing opening pin short,30,14,easy,heuristic,opening
D4FKG,r1bq1rk1/ppp2pp1/1b3n1p/8/3N4/2PQ4/P1B3PP/RN3RK1 b - - 2 18,1271,opening,18,c7c5 f1f6 f8e8 d3h7,73,94,7559,opening,24,14,easy,theme,middlegame
6Cp0l,r1b1k1nr/pp1p1ppp/4pq2/2b1n3/4P3/P1N2N2/1PP2PPP/R1BQKB1R w KQkq - 1 7,1280,opening,7,c1g5 e5f3 d1f3 f6g5,74,95,4203,advantage opening short,30,16,easy,heuristic,opening
oHk0K,r1bqk2r/pp1pnpp1/3Q2np/4p3/4P3/5N2/PPP2PPP/R1B1KB1R w KQkq - 1 10,1294,opening,10,f3e5 d8a5 b2b4 a5e5 d6e5 g6e5,74,96,609,advantage long opening,28,14,easy,heuristic,opening
cdZqJ,r2q1br1/pp2k1pp/2p5/4p3/4P3/2NP1P1b/PPP4P/R1BQ1RK1 b - - 0 12,1246,opening,12,h3f1 c1g5 e7d7 g5d8,74,100,256,advantage middlegame short skewer,25,12,easy,heuristic,opening
zU4aJ,r2qkbnr/ppp1pppp/8/4N3/1PB3b1/4P3/P2P1PPP/RNBQK2R b KQkq - 0 6,1089,opening,6,g4d1 c4f7,74,97,1708,attackingf2f7 mate matein1 onemove opening,29,15,easy,heuristic,opening
5c6Ss,r2qkbnr/p2bnppp/8/2p1N3/Q1B5/2P5/PP1P1PPP/RNB1K2R b KQkq - 0 9,1192,opening,9,d7a4 c4f7,74,86,264,attackingf2f7 mate matein1 onemove opening,28,16,easy,heuristic,opening
hcIrN,r3kb1r/ppp1pppb/2nq4/5P1p/2B5/2P3N1/P1PP2PP/R1BQ1RK1 w kq - 1 11,1298,opening,11,g3h5 d6c5 d2d4 c5c4,74,96,6804,opening,28,14,easy,theme,opening
Pp6Vz,r1b2bnr/pppp2pp/4kq2/7Q/3nP1N1/8/PPPP1PPP/RNB1K2R b KQ - 4 7,1276,opening,7,g7g6 h5d5 e6e7 g4f6,74,96,35798,crushing opening short,29,15,easy,heuristic,opening
ChZ88,rnbq1rk1/pp3ppp/8/2bp4/8/4PN2/PP3PPP/R1BQKB1R w KQ - 0 9,1255,opening,9,f1b5 d8a5 c1d2 a5b5,74,96,14502,crushing fork opening short,26,14,easy,heuristic,opening
NB5vv,r1bq1r2/ppp2Bp1/2np3k/2b1p3/4P3/3P1Q2/PPP2PPP/RN2K2R b KQ - 0 9,1256,opening,9,d8f6 f3h5,74,97,519,mate matein1 middlegame onemove,27,13,easy,heuristic,opening
324xo,rnb2rk1/pp3ppp/3p1n2/1N3q2/3P4/8/PPP2PPP/R1BQKB1R w KQ - 2 10,1198,opening,10,b5d6 f5e6 f1e2 e6d6,74,95,9122,advantage fork opening short,27,14,easy,heuristic,opening
4yjer,rnbqk2r/ppp2ppp/3bp3/4N3/3PpB2/4P3/PPP2PPP/RN1QK2R b KQkq - 1 7,1284,opening,7,f7f6 d1h5 g7g6 e5g6 h7g6 h5h8,74,95,6328,crushing long opening,30,14,easy,heuristic,opening
i66HQ,rB1qk2r/pp3ppp/4pn2/3p1b2/1bPP4/2N2N2/PP3PPP/R2QKB1R b KQkq - 0 8,1234,opening,8,a8b8 d1a4 b7b5 a4b4,74,96,11151,advantage fork opening short,29,15,easy,heuristic,opening
QOfTI,r1bqkb1r/pp3ppp/2n1pn2/1Bp5/3PPN2/5N2/PPQ2PPP/R1B1K2R w KQkq - 2 9,1177,opening,9,d4c5 d8a5 c1d2 a5b5,74,98,2350,advantage fork opening short,30,16,easy,heuristic,opening
IeXDW,r1bqkb1r/pp3ppp/3p1n2/2pPp3/2PnP3/2N1B3/PP2NPPP/R2QKB1R w KQkq - 0 8,1112,opening,8,g2g3 d4f3,74,83,150,mate matein1 onemove opening,32,16,easy,heuristic,opening
ZbouU,rn1q1r1k/ppp3pp/1b1p4/5n1b/2BP4/2N1BN1P/PPP2PP1/R2Q1RK1 w - - 0 12,1267,opening,12,e3g5 h5f3 g5d8 f3d1,74,86,177,advantage middlegame short,29,16,easy,heuristic,opening
