puzzle_id,fen,rating,phase,fullmove_number,moves,rating_deviation,popularity,nb_plays,themes,piece_count,major_pieces,difficulty,phase_source,heuristic_phase
gu8mS,r1b1kb1r/pp2nppp/2pQ4/8/2B1P3/2q5/P1PB1PPP/3RK2R b Kkq - 1 11,1958,opening,11,c3c4 d6d8 e8d8 d2a5 d8e8 d1d8,74,94,15067,attraction discoveredcheck doublecheck long mate matein3 middlegame operamate sacrifice,25,13,hard,heuristic,opening
4HKdT,rn2k1nr/pp3ppp/8/q1PpPb2/1b6/1QN2N2/PP3PPP/R1B1KB1R w KQkq - 1 10,1838,opening,10,f1b5 a5b5 f3d4 b4c3 b2c3 b5b3,74,93,5146,advantage discoveredattack long middlegame pin,29,16,hard,heuristic,opening
dyz6y,r2q2nr/ppp1nkp1/1b1Pb2p/4p3/2B5/5Q2/PP3PPP/RNB1K2R b KQ - 2 12,1813,opening,12,e7f5 f3f5 d8f6 c4e6,74,87,299,crushing middlegame pin short,27,15,hard,heuristic,opening
VH6y6,r1b1kbnr/pp3ppp/8/1P1qp3/3n4/5N2/2PP1PPP/RNBQKB1R w KQkq - 1 8,1825,opening,8,b5b6 d5e4 f1e2 d4c2 e1f1 c2a1,74,96,8073,crushing fork long opening,28,16,hard,heuristic,opening
ZPStv,r2qk1nr/ppp2pb1/2np2p1/7p/3PP2P/1Q2BB2/PP3PP1/RN2K2R b KQkq - 0 10,1742,opening,10,c6d4 e3d4 g7d4 b3a4 c7c6 a4d4,74,96,3408,opening,28,14,hard,theme,opening
Dt21j,rnbq1rk1/p2pbpp1/1pp2n1p/6B1/2PQP2P/2NB1N2/PP3PP1/R3K2R b KQ - 1 9,1727,opening,9,h6g5 h4g5 e7c5 d4e5,74,80,272,advantage middlegame short,30,16,hard,heuristic,opening
8tLp9,r3kb1r/1pq1nppp/p1n1p3/3pN3/3P1B2/P1NQ4/1PP2PPP/R3K2R b KQkq - 4 11,1789,opening,11,e7f5 e5g6 c7b6 g6h8,74,93,3220,advantage middlegame short,28,14,hard,heuristic,opening
IBKv4,r1bqk2r/1p2bpp1/p2ppn1p/2n5/3NPP1B/2N1Q3/PPP1B1PP/R3K2R b KQkq - 2 11,1784,opening,11,f6e4 h4e7 d8e7 c3e4,74,86,789,advantage intermezzo middlegame short,30,16,hard,heuristic,opening
L4fB4,r2q1rk1/pp2ppbp/2n1b1p1/1BPp4/3Pn3/P1N2N2/1P3PPP/R1BQ1RK1 w - - 1 11,1889,opening,11,c3e4 d5e4 b5c6 b7c6,74,89,207,advantage master opening short,30,16,hard,heuristic,opening
cWtc6,rnb1k1nr/ppp1qppp/3b4/3P4/4p3/5N2/PPPPBPPP/RNBQ1RK1 w kq - 0 6,1795,opening,6,f3d4 e7e5 g2g3 e5d4,74,95,15748,advantage opening short,31,16,hard,heuristic,opening
fCAwx,r1bqk2r/pp1p1ppp/2n1pn2/8/4P3/4BN2/PPP2KPP/RN1Q1B1R w kq - 3 7,1866,opening,7,f1e2 f6g4 f2g3 g4e3,74,95,2511,opening,28,15,hard,theme,opening
Ce7Bj,r1b1kr2/pp2q1pp/1bnP4/8/2BP1Bn1/8/PPP3PP/RN1Q1RK1 b q - 0 12,1799,opening,12,b6d4 d1d4 c6d4 d6e7,74,87,404,opening,26,15,hard,theme,opening
eIamZ,r2qk2r/p3npbp/2p1p1p1/3pNb2/Q2P1P2/2P5/PP4PP/RNB2RK1 w kq - 4 12,1981,opening,12,e5c6 d8d7 c6e7 d7a4,74,89,146,crushing middlegame short,28,14,hard,heuristic,opening
L4rTT,r1b1k2r/1pppnppp/pb3q2/3P4/8/1N1B4/PPP2PPP/R1BQ1RK1 w kq - 1 11,1752,opening,11,f1e1 b6f2 g1h1 f2e1,74,95,10492,advantage fork opening short,28,14,hard,heuristic,opening
DinVK,rn2kbnr/pp3ppp/1qp1p3/3pPb2/5B2/3P3P/PPP2PP1/RN1QKBNR w KQkq - 1 6,2005,opening,6,b2b3 b6d4 c2c3 d4f4,74,95,8291,crushing fork opening short,32,16,hard,heuristic,opening
qXkgs,rnbq1rk1/pp2nppp/8/3p4/2B5/2N2N2/PPP1QPPP/R4RK1 w - - 0 12,2230,opening,12,c3d5 e7d5 a1d1 d5f4 c4f7 g8h8 e2e5 d8f6,73,91,6826,advantage middlegame verylong,26,14,hard,heuristic,opening
rEXQ5,r1b1k2r/pp1pqppp/2p5/4P3/2Q2Bn1/P1N2N2/1P2PbPP/R2K1B1R w kq - 0 12,1759,opening,12,f4g5 e7g5 c4f7 e8f7,74,93,2722,opening,28,15,hard,theme,opening
vCwCw,r1bqkb1r/pppnpppp/3p1n2/8/2B5/2NP1N2/PPP2PPP/R1BQ1RK1 b kq - 4 6,1817,opening,6,a7a5 c4f7 e8f7 f3g5 f7g8 g5e6 d8e8 e6c7 e8g6 c7a8,74,87,298,advantage attackingf2f7 attraction fork opening sacrifice verylong,31,16,hard,heuristic,opening
U1u2k,rn1q1rk1/p1p2ppp/1p1bp3/3n2B1/2B5/3P1N2/PPP2PPP/R2QR1K1 b - - 5 10,1706,opening,10,d6e7 c4d5 d8d5 g5e7,74,85,333,capturingdefender crushing opening short,28,14,hard,heuristic,opening
ohzHN,r1b2rk1/ppp1qppp/3b1n2/4n3/2P5/1PN1PN1P/P3BPP1/R1BQ1RK1 w - - 1 12,1729,opening,12,f3e5 e7e5 f2f4 e5c3 c1d2 c3b2,73,95,15859,advantage long opening,29,16,hard,heuristic,opening
6MKFc,r1b1k2r/ppp1qp1n/4pb1Q/8/2B5/2N5/PPP2PPP/R1B1K2R w KQkq - 1 12,1745,opening,12,e1g1 h7g5 c1g5 h8h6,74,88,297,advantage discoveredattack opening quietmove short trappedpiece,25,14,hard,heuristic,opening
KYUgS,r1b1k2r/pppp1ppp/3q1n2/4n3/4PP2/4B3/P1PNB1PP/1R1QK2R b Kkq - 0 12,1832,opening,12,e5g4 e2g4 f6g4 d1g4,74,89,269,advantage opening short,27,14,hard,heuristic,opening
ekEoC,rnb1kb1r/1p3ppp/p7/4p3/8/4PN1P/PP1B1Pq1/RN1QKR2 b Qkq - 1 12,1771,opening,12,c8h3 f1g1 g2g1 f3g1,74,86,1315,advantage opening short trappedpiece,25,14,hard,heuristic,opening
7tl9F,r1bqr1k1/pp1n1pb1/3p1np1/2pN2Bp/2P1P2P/5QN1/PP2BPP1/R3K2R b KQ - 4 12,1960,opening,12,d7e5 d5f6 d8f6 f3f6 g7f6 g5f6,74,92,2146,crushing fork long middlegame,30,16,hard,heuristic,opening
wcP6c,r1b2rk1/pp3ppp/2n5/2b5/4q3/1Q3N2/PPP1BPPP/R1B2RK1 w - - 0 12,1844,opening,12,c1g5 e4e2 a1e1 e2a6,74,85,213,crushing hangingpiece middlegame short,25,14,hard,heuristic,opening
IV0XV,r3kb1r/pp1n1ppp/4P3/3p4/7q/2N3n1/PPPP3P/R1BQK1NR w KQkq - 0 11,2000,opening,11,e6f7 e8d8 h2g3 h4h1,74,93,2265,opening,26,14,hard,theme,opening
