puzzle_id,fen,rating,phase,fullmove_number,moves,rating_deviation,popularity,nb_plays,themes,piece_count,major_pieces,difficulty,phase_source,heuristic_phase
cTmXf,8/pppk1p2/8/8/2b5/5P2/3rBK2/5Q2 w - - 0 35,1157,endgame,35,f2e3 d2e2 f1e2 c4e2,74,74,110,endgame,11,6,easy,theme,middlegame
X20de,r1br2k1/1p2pp1p/pq3bp1/3Pn3/4P3/1NN5/PP2BPPP/2RQ1RK1 w - - 0 14,1279,middlegame,14,d1d4 e5f3 e2f3 f6d4,74,96,4520,middlegame,27,14,easy,theme,middlegame
fkPLW,8/8/2k1p1p1/4P2p/4K2P/8/6P1/8 b - - 7 56,1251,endgame,56,c6d7 e4f4 d7c6 f4g5,74,96,3649,endgame,8,2,easy,theme,endgame
TBlnx,5rk1/4q1pp/4pn2/4N3/p2P1p1Q/2PB1P1K/r6P/6R1 b - - 1 37,1780,middlegame,37,a4a3 d3h7 f6h7 h4e7,74,83,397,middlegame,19,10,hard,theme,middlegame
jzucm,8/p2r1pk1/1p4pp/1P2r3/P5PP/2Q5/5PK1/8 b - - 3 40,1168,endgame,40,d7e7 f2f4 f7f6 f4e5,74,96,2738,endgame,15,5,easy,theme,endgame
2MLpK,r1b1k1nr/p2p2Qp/2p1pp2/q7/4PB2/2P5/P1P2PPP/R3KB1R w KQkq - 0 12,1207,opening,12,f4d6 a5c3 e1d1 c3a1 d1d2 a1d4 f1d3 d4d6,74,98,820,advantage fork middlegame verylong,25,12,easy,heuristic,opening
IkN1r,8/8/2p2k2/2Pp1p2/1p1P1P2/4P3/2K5/8 b - - 1 54,1289,endgame,54,f6g6 c2b3 g6h5 b3b4 h5g4 b4a5,74,97,5598,endgame,10,2,easy,theme,endgame
mHx8w,2r4k/pp2r1p1/1qb1p2p/3pPp2/3P1Q1N/1P4R1/P4PPP/3R2K1 b - - 9 25,1689,middlegame,25,h8h7 h4f5 e6f5 f4f5 h7h8 f5c8,74,91,1045,middlegame,24,10,medium,theme,middlegame
uQlt5,4r1k1/pp3pp1/2pp4/5b2/1b2r3/1B4B1/PPP2PPP/R3RK2 w - - 5 24,1294,middlegame,24,c2c3 e4e1 a1e1 f5d3,74,96,2443,middlegame,22,10,easy,theme,middlegame
eOfM7,r1b3k1/pp2rppp/5n2/1B2p3/3q4/3Q3P/PPP2PP1/R4RK1 b - - 1 17,1281,middlegame,17,d4b2 d3d8 e7e8 b5e8,74,98,2176,middlegame,23,11,easy,theme,middlegame
ysaXK,rnb1kb1r/pp2pppp/5n2/2B5/8/2N5/PP2PPPP/3RKBNR b Kkq - 0 7,1430,opening,7,b8c6 c3b5 c8d7 b5c7 e8d8 c7a8,74,94,25324,advantage fork long opening,26,14,medium,heuristic,opening
6FOPu,r2qk2r/pp2ppb1/3p1Bp1/3P3p/4P1bP/2N2B2/PP3PP1/R2QK2R b KQkq - 0 12,1788,middlegame,12,g4f3 d1a4 b7b5 a4b5 e8f8 f6g7,74,94,2516,middlegame,27,13,hard,theme,opening
gu8mS,r1b1kb1r/pp2nppp/2pQ4/8/2B1P3/2q5/P1PB1PPP/3RK2R b Kkq - 1 11,1958,opening,11,c3c4 d6d8 e8d8 d2a5 d8e8 d1d8,74,94,15067,attraction discoveredcheck doublecheck long mate matein3 middlegame operamate sacrifice,25,13,hard,heuristic,opening
fJxZe,2b1r1k1/1pr2ppR/p7/P1BPb3/6q1/2PB2P1/3Q3P/5RK1 w - - 3 30,1212,middlegame,30,c5d4 e5d4 c3d4 g4d4,74,97,821,middlegame,21,12,easy,theme,middlegame
KCTui,r3k2r/p4pp1/b1p1p2q/2P1N3/5P2/4P1n1/PP4Q1/3RR1K1 w kq - 0 23,1119,middlegame,23,g2g3 h6h1 g1f2 h8h2 g3h2 h1h2,74,98,1002,middlegame,21,11,easy,theme,middlegame
jyPto,8/5ppk/4r2p/8/4b3/7P/5Q2/6K1 w - - 4 48,1459,endgame,48,f2f7 e6g6 g1f2 g6f6 f7f6 g7f6,74,91,1423,endgame,9,5,medium,theme,endgame
hBRzO,r2qkb1r/pp3ppp/2n1p3/1B6/3Pp3/P3BQ2/1PP2PPP/R3K2R w KQkq - 0 11,1342,opening,11,f3e4 d8a5 c2c3 a5b5,74,97,23496,advantage fork middlegame short,26,12,medium,heuristic,opening
aWfxA,1k3qrb/1p3p2/2brpP2/Qp6/5B2/8/PP2BPPP/3R2K1 b - - 3 27,1818,middlegame,27,g8g2 g1f1 g2g1 f1g1 f8g8 f4g3,74,84,428,middlegame,21,11,hard,theme,middlegame
w7g3N,r1b1kb1r/pp2qppp/2p2n2/4p3/2B4Q/2N5/PPP2PPP/R1B2RK1 b kq - 1 10,1676,opening,10,g7g6 c1g5 f8g7 c3e4,74,87,1277,crushing opening short,27,14,medium,heuristic,opening
